{'idx': 150, 'pred_ans': '35', 'GT': '4'}
{'idx': 532, 'pred_ans': '30', 'GT': '25'}
{'idx': 38, 'pred_ans': '7', 'GT': '10'}
{'idx': 278, 'pred_ans': '20', 'GT': '40'}
{'idx': 587, 'pred_ans': '1', 'GT': '30'}
{'idx': 1314, 'pred_ans': '3', 'GT': '8'}
{'idx': 1070, 'pred_ans': '6', 'GT': '18'}
{'idx': 939, 'pred_ans': '0', 'GT': '650'}
{'idx': 201, 'pred_ans': '109000', 'GT': '114200'}
{'idx': 67, 'pred_ans': '575', 'GT': '595'}
{'idx': 188, 'pred_ans': '14', 'GT': '50'}
{'idx': 877, 'pred_ans': '3000', 'GT': '7000'}
{'idx': 679, 'pred_ans': '96', 'GT': '576'}
{'idx': 809, 'pred_ans': '150', 'GT': '50'}
{'idx': 960, 'pred_ans': '30', 'GT': '11'}
{'idx': 216, 'pred_ans': '20', 'GT': '220'}
{'idx': 1212, 'pred_ans': '135', 'GT': '150'}
{'idx': 1063, 'pred_ans': '0', 'GT': '320'}
{'idx': 1171, 'pred_ans': '6000', 'GT': '3160'}
{'idx': 1131, 'pred_ans': '15', 'GT': '96'}
{'idx': 79, 'pred_ans': '40', 'GT': '70'}
{'idx': 958, 'pred_ans': '10', 'GT': '40'}
{'idx': 602, 'pred_ans': '2000', 'GT': '5'}
{'idx': 1189, 'pred_ans': '4', 'GT': '6'}
{'idx': 1179, 'pred_ans': '37', 'GT': '50'}
{'idx': 1021, 'pred_ans': '15', 'GT': '36'}
{'idx': 425, 'pred_ans': '61', 'GT': '150'}
{'idx': 689, 'pred_ans': '36', 'GT': '7'}
{'idx': 1240, 'pred_ans': '5', 'GT': '2'}
{'idx': 39, 'pred_ans': '72', 'GT': '18'}
{'idx': 648, 'pred_ans': '27', 'GT': '54'}
{'idx': 494, 'pred_ans': '56', 'GT': '21'}
{'idx': 214, 'pred_ans': '0', 'GT': '8'}
{'idx': 6, 'pred_ans': '240', 'GT': '260'}
{'idx': 184, 'pred_ans': '3', 'GT': '25'}
{'idx': 107, 'pred_ans': '4', 'GT': '3'}
{'idx': 701, 'pred_ans': '38', 'GT': '200'}
{'idx': 897, 'pred_ans': '24', 'GT': '1'}
{'idx': 1266, 'pred_ans': '280', 'GT': '147'}
{'idx': 609, 'pred_ans': '28', 'GT': '7'}
{'idx': 1084, 'pred_ans': '0', 'GT': '20'}
{'idx': 784, 'pred_ans': '12', 'GT': '15'}
{'idx': 26, 'pred_ans': '253', 'GT': '243'}
{'idx': 601, 'pred_ans': '3', 'GT': '104'}
{'idx': 8, 'pred_ans': '330', 'GT': '45'}
{'idx': 509, 'pred_ans': '15', 'GT': '4'}
{'idx': 379, 'pred_ans': '-63', 'GT': '21'}
{'idx': 1217, 'pred_ans': '70', 'GT': '75'}
{'idx': 1111, 'pred_ans': '167', 'GT': '157'}
{'idx': 793, 'pred_ans': '490', 'GT': '250'}
{'idx': 1205, 'pred_ans': '730', 'GT': '4'}
{'idx': 389, 'pred_ans': '-30', 'GT': '6'}
{'idx': 858, 'pred_ans': '10', 'GT': '3430'}
{'idx': 336, 'pred_ans': '144', 'GT': '72'}
{'idx': 106, 'pred_ans': '1944', 'GT': '72'}
{'idx': 1310, 'pred_ans': '8', 'GT': '64'}
{'idx': 1309, 'pred_ans': '1880', 'GT': '2280'}
{'idx': 1294, 'pred_ans': '40', 'GT': '36'}
{'idx': 539, 'pred_ans': '70', 'GT': '35'}
{'idx': 978, 'pred_ans': '140', 'GT': '160'}
{'idx': 1306, 'pred_ans': '9', 'GT': '2'}
{'idx': 467, 'pred_ans': '720', 'GT': '1200'}
{'idx': 737, 'pred_ans': '36', 'GT': '2'}
{'idx': 61, 'pred_ans': '1170', 'GT': '1430'}
{'idx': 1092, 'pred_ans': '180', 'GT': '1080'}
{'idx': 101, 'pred_ans': '8', 'GT': '6'}
{'idx': 111, 'pred_ans': '13', 'GT': '16'}
{'idx': 315, 'pred_ans': '12', 'GT': '14'}
{'idx': 438, 'pred_ans': '1', 'GT': '2'}
{'idx': 641, 'pred_ans': '70', 'GT': '262500'}
{'idx': 135, 'pred_ans': '55', 'GT': '40'}
{'idx': 1051, 'pred_ans': '4', 'GT': '15'}
{'idx': 395, 'pred_ans': '66', 'GT': '38'}
{'idx': 822, 'pred_ans': '1050', 'GT': '1260'}
{'idx': 1218, 'pred_ans': '6', 'GT': '225'}
{'idx': 969, 'pred_ans': '3300', 'GT': '1800'}
{'idx': 471, 'pred_ans': '30', 'GT': '80'}
{'idx': 763, 'pred_ans': '1', 'GT': '100'}
{'idx': 1010, 'pred_ans': '300', 'GT': '5'}
{'idx': 878, 'pred_ans': '17', 'GT': '5'}
{'idx': 537, 'pred_ans': '7', 'GT': '188'}
{'idx': 1197, 'pred_ans': '20', 'GT': '2400'}
{'idx': 782, 'pred_ans': '19', 'GT': '54'}
{'idx': 997, 'pred_ans': '3400', 'GT': '6600'}
{'idx': 1207, 'pred_ans': '69', 'GT': '64'}
{'idx': 597, 'pred_ans': '30', 'GT': '90'}
{'idx': 559, 'pred_ans': '6', 'GT': '16'}
{'idx': 963, 'pred_ans': '48', 'GT': '147'}
{'idx': 507, 'pred_ans': '90', 'GT': '2'}
{'idx': 604, 'pred_ans': '70', 'GT': '12'}
{'idx': 802, 'pred_ans': '5', 'GT': '6'}
{'idx': 292, 'pred_ans': '85', 'GT': '75'}
{'idx': 307, 'pred_ans': '4', 'GT': '16'}
{'idx': 353, 'pred_ans': '17', 'GT': '20'}
{'idx': 371, 'pred_ans': '106', 'GT': '50'}
{'idx': 1, 'pred_ans': '5', 'GT': '3'}
{'idx': 882, 'pred_ans': '0', 'GT': '5'}
{'idx': 148, 'pred_ans': '-3', 'GT': '30'}
{'idx': 1311, 'pred_ans': '606', 'GT': '594'}
{'idx': 892, 'pred_ans': '2', 'GT': '1'}
{'idx': 243, 'pred_ans': '61', 'GT': '250'}
{'idx': 996, 'pred_ans': '22', 'GT': '3'}
{'idx': 444, 'pred_ans': '18', 'GT': '20'}
{'idx': 955, 'pred_ans': '300', 'GT': '100'}
{'idx': 394, 'pred_ans': '56', 'GT': '92'}
{'idx': 334, 'pred_ans': '1', 'GT': '6'}
{'idx': 1012, 'pred_ans': '33', 'GT': '94'}
{'idx': 423, 'pred_ans': '6', 'GT': '8'}
{'idx': 1031, 'pred_ans': '1400', 'GT': '5'}
{'idx': 1064, 'pred_ans': '231', 'GT': '247'}
{'idx': 630, 'pred_ans': '9', 'GT': '10'}
{'idx': 404, 'pred_ans': '35', 'GT': '22'}
{'idx': 640, 'pred_ans': '44000', 'GT': '43500'}
{'idx': 1035, 'pred_ans': '40', 'GT': '35'}
{'idx': 906, 'pred_ans': '6', 'GT': '10'}
{'idx': 383, 'pred_ans': '48', 'GT': '2'}
{'idx': 238, 'pred_ans': '48', 'GT': '68'}
{'idx': 524, 'pred_ans': '17', 'GT': '9'}
{'idx': 5, 'pred_ans': '180', 'GT': '64'}
{'idx': 493, 'pred_ans': '1', 'GT': '25'}
{'idx': 1275, 'pred_ans': '15', 'GT': '16'}
{'idx': 415, 'pred_ans': '500', 'GT': '350'}
{'idx': 55, 'pred_ans': '15', 'GT': '14'}
{'idx': 361, 'pred_ans': '27', 'GT': '20'}
{'idx': 966, 'pred_ans': '1', 'GT': '48'}
{'idx': 1284, 'pred_ans': '60', 'GT': '25'}
{'idx': 790, 'pred_ans': '60', 'GT': '108'}
{'idx': 574, 'pred_ans': '66', 'GT': '37'}
{'idx': 1293, 'pred_ans': '20000', 'GT': '140000'}
{'idx': 1231, 'pred_ans': '68', 'GT': '70'}
{'idx': 619, 'pred_ans': '4', 'GT': '76'}
{'idx': 1029, 'pred_ans': '5', 'GT': '34'}
{'idx': 207, 'pred_ans': '3', 'GT': '2600'}
{'idx': 1086, 'pred_ans': '306000', 'GT': '131250'}
{'idx': 158, 'pred_ans': '40', 'GT': '34'}
{'idx': 844, 'pred_ans': '60', 'GT': '180'}
