{'idx': 773, 'pred_ans': '3', 'GT': '10'}
{'idx': 532, 'pred_ans': '2', 'GT': '25'}
{'idx': 38, 'pred_ans': '500', 'GT': '10'}
{'idx': 295, 'pred_ans': '300', 'GT': '370'}
{'idx': 278, 'pred_ans': '20', 'GT': '40'}
{'idx': 587, 'pred_ans': '6', 'GT': '30'}
{'idx': 781, 'pred_ans': '2', 'GT': '17'}
{'idx': 1314, 'pred_ans': '4', 'GT': '8'}
{'idx': 1070, 'pred_ans': '36', 'GT': '18'}
{'idx': 99, 'pred_ans': '72', 'GT': '58'}
{'idx': 939, 'pred_ans': '450', 'GT': '650'}
{'idx': 201, 'pred_ans': '767500', 'GT': '114200'}
{'idx': 1076, 'pred_ans': '2', 'GT': '162'}
{'idx': 67, 'pred_ans': '575', 'GT': '595'}
{'idx': 188, 'pred_ans': '2', 'GT': '50'}
{'idx': 877, 'pred_ans': '0', 'GT': '7000'}
{'idx': 679, 'pred_ans': '16', 'GT': '576'}
{'idx': 960, 'pred_ans': '500', 'GT': '11'}
{'idx': 216, 'pred_ans': '200', 'GT': '220'}
{'idx': 1212, 'pred_ans': '20', 'GT': '150'}
{'idx': 1063, 'pred_ans': '20', 'GT': '320'}
{'idx': 1171, 'pred_ans': '20', 'GT': '3160'}
{'idx': 121, 'pred_ans': '20', 'GT': '27'}
{'idx': 1131, 'pred_ans': '2400', 'GT': '96'}
{'idx': 79, 'pred_ans': '160', 'GT': '70'}
{'idx': 206, 'pred_ans': '500', 'GT': '860'}
{'idx': 958, 'pred_ans': '3', 'GT': '40'}
{'idx': 602, 'pred_ans': '2000', 'GT': '5'}
{'idx': 1245, 'pred_ans': '100', 'GT': '96'}
{'idx': 1189, 'pred_ans': '1', 'GT': '6'}
{'idx': 1179, 'pred_ans': '20', 'GT': '50'}
{'idx': 425, 'pred_ans': '60', 'GT': '150'}
{'idx': 689, 'pred_ans': '148', 'GT': '7'}
{'idx': 1240, 'pred_ans': '55', 'GT': '2'}
{'idx': 973, 'pred_ans': '83', 'GT': '79'}
{'idx': 648, 'pred_ans': '52', 'GT': '54'}
{'idx': 775, 'pred_ans': '2', 'GT': '276'}
{'idx': 727, 'pred_ans': '64', 'GT': '112'}
