{'idx': 150, 'pred_ans': '11', 'GT': '4'}
{'idx': 532, 'pred_ans': '9', 'GT': '25'}
{'idx': 38, 'pred_ans': '60', 'GT': '10'}
{'idx': 278, 'pred_ans': '20', 'GT': '40'}
{'idx': 587, 'pred_ans': '1500', 'GT': '30'}
{'idx': 781, 'pred_ans': '32', 'GT': '17'}
{'idx': 1314, 'pred_ans': '38', 'GT': '8'}
{'idx': 1070, 'pred_ans': '144', 'GT': '18'}
{'idx': 994, 'pred_ans': '40', 'GT': '2'}
{'idx': 99, 'pred_ans': '40', 'GT': '58'}
{'idx': 939, 'pred_ans': '5900', 'GT': '650'}
{'idx': 201, 'pred_ans': '107650', 'GT': '114200'}
{'idx': 744, 'pred_ans': '3', 'GT': '4'}
{'idx': 67, 'pred_ans': '575', 'GT': '595'}
{'idx': 877, 'pred_ans': '0', 'GT': '7000'}
{'idx': 809, 'pred_ans': '100', 'GT': '50'}
{'idx': 960, 'pred_ans': '147', 'GT': '11'}
{'idx': 1212, 'pred_ans': '1320', 'GT': '150'}
{'idx': 1063, 'pred_ans': '64', 'GT': '320'}
{'idx': 1171, 'pred_ans': '2160', 'GT': '3160'}
{'idx': 1131, 'pred_ans': '228', 'GT': '96'}
{'idx': 79, 'pred_ans': '86', 'GT': '70'}
{'idx': 206, 'pred_ans': '3', 'GT': '860'}
{'idx': 958, 'pred_ans': '48', 'GT': '40'}
{'idx': 518, 'pred_ans': '112', 'GT': '32'}
{'idx': 602, 'pred_ans': '2000', 'GT': '5'}
{'idx': 1245, 'pred_ans': '436', 'GT': '96'}
{'idx': 1189, 'pred_ans': '88', 'GT': '6'}
{'idx': 1179, 'pred_ans': '58', 'GT': '50'}
{'idx': 1021, 'pred_ans': '48', 'GT': '36'}
{'idx': 689, 'pred_ans': '15', 'GT': '7'}
{'idx': 1240, 'pred_ans': '7', 'GT': '2'}
{'idx': 39, 'pred_ans': '21', 'GT': '18'}
{'idx': 973, 'pred_ans': '56', 'GT': '79'}
{'idx': 648, 'pred_ans': '27', 'GT': '54'}
{'idx': 727, 'pred_ans': '240', 'GT': '112'}
{'idx': 494, 'pred_ans': '48', 'GT': '21'}
{'idx': 214, 'pred_ans': '4', 'GT': '8'}
{'idx': 6, 'pred_ans': '250', 'GT': '260'}
{'idx': 184, 'pred_ans': '3', 'GT': '25'}
{'idx': 107, 'pred_ans': '30', 'GT': '3'}
{'idx': 701, 'pred_ans': '2', 'GT': '200'}
{'idx': 897, 'pred_ans': '0', 'GT': '1'}
{'idx': 1266, 'pred_ans': '56', 'GT': '147'}
{'idx': 1084, 'pred_ans': '0', 'GT': '20'}
{'idx': 784, 'pred_ans': '750', 'GT': '15'}
{'idx': 26, 'pred_ans': '253', 'GT': '243'}
{'idx': 601, 'pred_ans': '300', 'GT': '104'}
{'idx': 8, 'pred_ans': '4', 'GT': '45'}
{'idx': 1280, 'pred_ans': '365', 'GT': '7'}
{'idx': 1164, 'pred_ans': '53', 'GT': '9'}
{'idx': 375, 'pred_ans': '4', 'GT': '48'}
{'idx': 379, 'pred_ans': '44', 'GT': '21'}
{'idx': 1217, 'pred_ans': '22', 'GT': '75'}
{'idx': 1111, 'pred_ans': '167', 'GT': '157'}
{'idx': 793, 'pred_ans': '1850', 'GT': '250'}
{'idx': 887, 'pred_ans': '54', 'GT': '34'}
{'idx': 1056, 'pred_ans': '2', 'GT': '156'}
{'idx': 1205, 'pred_ans': '29', 'GT': '4'}
{'idx': 389, 'pred_ans': '9', 'GT': '6'}
{'idx': 858, 'pred_ans': '500', 'GT': '3430'}
{'idx': 1313, 'pred_ans': '50', 'GT': '2'}
{'idx': 1310, 'pred_ans': '32', 'GT': '64'}
{'idx': 1267, 'pred_ans': '70', 'GT': '40'}
{'idx': 1309, 'pred_ans': '1340', 'GT': '2280'}
{'idx': 185, 'pred_ans': '8', 'GT': '30'}
{'idx': 1294, 'pred_ans': '60', 'GT': '36'}
{'idx': 539, 'pred_ans': '110', 'GT': '35'}
{'idx': 978, 'pred_ans': '60', 'GT': '160'}
{'idx': 1306, 'pred_ans': '5', 'GT': '2'}
{'idx': 112, 'pred_ans': '72', 'GT': '24'}
{'idx': 467, 'pred_ans': '880', 'GT': '1200'}
{'idx': 61, 'pred_ans': '1350', 'GT': '1430'}
{'idx': 713, 'pred_ans': '13824', 'GT': '576'}
{'idx': 1092, 'pred_ans': '1200', 'GT': '1080'}
{'idx': 101, 'pred_ans': '9', 'GT': '6'}
{'idx': 111, 'pred_ans': '20', 'GT': '16'}
{'idx': 641, 'pred_ans': '12060', 'GT': '262500'}
{'idx': 135, 'pred_ans': '250', 'GT': '40'}
{'idx': 1051, 'pred_ans': '30', 'GT': '15'}
{'idx': 395, 'pred_ans': '46', 'GT': '38'}
{'idx': 822, 'pred_ans': '5040', 'GT': '1260'}
