{'idx': 150, 'pred_ans': '5', 'GT': '4'}
{'idx': 532, 'pred_ans': '35', 'GT': '25'}
{'idx': 38, 'pred_ans': '39', 'GT': '10'}
{'idx': 295, 'pred_ans': '430', 'GT': '370'}
{'idx': 587, 'pred_ans': '1519', 'GT': '30'}
{'idx': 1314, 'pred_ans': '11', 'GT': '8'}
{'idx': 1070, 'pred_ans': '24', 'GT': '18'}
{'idx': 99, 'pred_ans': '40', 'GT': '58'}
{'idx': 939, 'pred_ans': '250', 'GT': '650'}
{'idx': 269, 'pred_ans': '8', 'GT': '4'}
{'idx': 201, 'pred_ans': '5100', 'GT': '114200'}
{'idx': 67, 'pred_ans': '575', 'GT': '595'}
{'idx': 188, 'pred_ans': '400', 'GT': '50'}
{'idx': 877, 'pred_ans': '140', 'GT': '7000'}
{'idx': 679, 'pred_ans': '16', 'GT': '576'}
{'idx': 809, 'pred_ans': '150', 'GT': '50'}
{'idx': 960, 'pred_ans': '122', 'GT': '11'}
{'idx': 216, 'pred_ans': '20', 'GT': '220'}
{'idx': 1212, 'pred_ans': '30', 'GT': '150'}
{'idx': 1063, 'pred_ans': '60', 'GT': '320'}
{'idx': 1171, 'pred_ans': '2520', 'GT': '3160'}
{'idx': 206, 'pred_ans': '650', 'GT': '860'}
{'idx': 518, 'pred_ans': '8', 'GT': '32'}
{'idx': 1189, 'pred_ans': '27', 'GT': '6'}
{'idx': 1021, 'pred_ans': '333', 'GT': '36'}
{'idx': 425, 'pred_ans': '180', 'GT': '150'}
{'idx': 689, 'pred_ans': '15', 'GT': '7'}
{'idx': 1240, 'pred_ans': '8', 'GT': '2'}
{'idx': 271, 'pred_ans': '40', 'GT': '20'}
{'idx': 39, 'pred_ans': '6', 'GT': '18'}
{'idx': 648, 'pred_ans': '52', 'GT': '54'}
{'idx': 727, 'pred_ans': '40', 'GT': '112'}
{'idx': 494, 'pred_ans': '43', 'GT': '21'}
{'idx': 214, 'pred_ans': '16', 'GT': '8'}
{'idx': 184, 'pred_ans': '3', 'GT': '25'}
{'idx': 107, 'pred_ans': '1', 'GT': '3'}
{'idx': 701, 'pred_ans': '50', 'GT': '200'}
{'idx': 1266, 'pred_ans': '56', 'GT': '147'}
{'idx': 609, 'pred_ans': '84', 'GT': '7'}
{'idx': 1084, 'pred_ans': '80', 'GT': '20'}
{'idx': 784, 'pred_ans': '8', 'GT': '15'}
{'idx': 26, 'pred_ans': '253', 'GT': '243'}
{'idx': 601, 'pred_ans': '158', 'GT': '104'}
{'idx': 8, 'pred_ans': '4', 'GT': '45'}
{'idx': 509, 'pred_ans': '12', 'GT': '4'}
{'idx': 925, 'pred_ans': '2', 'GT': '2000'}
{'idx': 1164, 'pred_ans': '150', 'GT': '9'}
{'idx': 1217, 'pred_ans': '15', 'GT': '75'}
{'idx': 1111, 'pred_ans': '128', 'GT': '157'}
{'idx': 1056, 'pred_ans': '208', 'GT': '156'}
{'idx': 1205, 'pred_ans': '32', 'GT': '4'}
{'idx': 389, 'pred_ans': '204', 'GT': '6'}
{'idx': 858, 'pred_ans': '0', 'GT': '3430'}
{'idx': 336, 'pred_ans': '140', 'GT': '72'}
{'idx': 106, 'pred_ans': '180', 'GT': '72'}
{'idx': 1313, 'pred_ans': '1', 'GT': '2'}
{'idx': 1310, 'pred_ans': '60', 'GT': '64'}
{'idx': 1267, 'pred_ans': '20', 'GT': '40'}
{'idx': 1309, 'pred_ans': '1800', 'GT': '2280'}
{'idx': 1294, 'pred_ans': '1', 'GT': '36'}
{'idx': 539, 'pred_ans': '72', 'GT': '35'}
{'idx': 978, 'pred_ans': '100', 'GT': '160'}
{'idx': 467, 'pred_ans': '480', 'GT': '1200'}
{'idx': 1092, 'pred_ans': '0', 'GT': '1080'}
{'idx': 101, 'pred_ans': '10', 'GT': '6'}
